Title,ID,Date,Class,Category,Author,ISBN,Publisher,Pub_Date,Order_Time,Count,Cart,Cart_Date,Device,Address1,Address2,user_purchase_count,book_sell_count
얼룩의 탄생,355,20141019,주문,국내문학,<김선재> 저,9788932023137,문학과지성사,20120621.0,20,1,N,,기기PID_PC,경상남도,거제시,20,1
천국은 언제쯤 망가진 자들을 수거해가나,355,20140615,주문,국내문학,<김성규> 저,9788936423599,창비,20130329.0,21,1,N,,기기PID_PC,경상남도,거제시,20,1
일곱 개의 단어로 된 사전,355,20140427,주문,국내문학,진은영 저,9788932014388,문학과지성사,20030724.0,20,1,N,,기기PID_PC,경상남도,거제시,20,4
말들이 돌아오는 시간,355,20140615,주문,국내문학,<나희덕> 저,9788932025308,문학과지성사,20140113.0,21,1,N,,기기PID_PC,경상남도,거제시,20,27
에드거 앨런 포 단편선,355,20140615,주문,해외문학,<에드거 앨런 포> 저/<전승희> 역,9788937463082,민음사,20130212.0,21,1,N,,기기PID_PC,경상남도,거제시,20,10
눈사람 여관,355,20141019,주문,국내문학,<이병률> 저,9788932024509,문학과지성사,20130923.0,20,1,N,,기기PID_PC,경상남도,거제시,20,13
밤 열한 시,355,20140410,주문,국내문학,<황경신> 저/<김원> 그림,9788973816828,소담출판사,20131015.0,22,1,N,,그 외,경상남도,거제시,20,26
신의 카르테 1,610,20140819,주문,해외문학,<나쓰카와 소스케> 저/<채숙향> 역,9788961091626,지식여행,20110210.0,19,1,N,,기기PID_PC,울산광역시,동구,13,5
신세계에서 1,610,20140819,주문,해외문학,<기시 유스케> 저/<이선희> 역,9788901092966,시작,20090316.0,19,1,N,,기기PID_PC,울산광역시,동구,13,16
배틀필드 더 러시안,610,20140429,주문,해외문학,"<앤디 맥냅>,<피터 그림스데일> 공저/<이동훈> 역",9788959522460,제우미디어,20120220.0,20,1,N,,기기PID_PC,울산광역시,동구,13,2
비블리아 고서당 사건수첩 4,610,20140525,주문,해외문학,<미카미 엔> 저/<최고은> 역,9788926795040,디앤씨미디어(D&C미디어),20140227.0,0,1,N,,기기PID_PC,울산광역시,동구,13,45
유랑화사 1,610,20140819,주문,국내문학,<정연> 저/<R.알니람> 그림,9791131901076,영상출판미디어,20140813.0,19,1,N,,기기PID_PC,울산광역시,동구,13,6
배틀필드 : 카운트다운,610,20140429,주문,해외문학,<피터 그림스데일> 저/<이동훈> 역,9788959523023,제우미디어,20140205.0,20,1,N,,기기PID_PC,울산광역시,동구,13,5
