Title,ID,Date,Class,Category,Author,ISBN,Publisher,Pub_Date,Order_Time,Count,Cart,Cart_Date,Device,Address1,Address2,user_purchase_count,book_sell_count
데프콘 한미전쟁 세트,168,20141108,주문,국내문학,<김경진> 등저,9788956372389,씨앗을뿌리는사람,20000229.0,20,1,N,,기기PID_PC,인천광역시,계양구,1,1
달팽이 안에 달,241,20140824,주문,국내문학,<김은주> 저,9788925545615,알에이치코리아(RHK),20120102.0,20,1,N,,기기PID_PC,충청남도,예산군,1,27
일곱 개의 별을 요리하다,254,20140818,주문,국내문학,<에드워드 권> 저,9788956053059,북하우스,20081103.0,7,1,N,,기기PID_PC,경기도,의정부시,1,7
내 심장을 쏴라,283,20140713,주문,국내문학,<정유정> 저,9788956602998,은행나무,20090427.0,14,1,N,,기기PID_PC,경기도,평택시,1,75
내가 사랑한 유럽 TOP10,305,20140804,주문,국내문학,<정여울> 저/<대한항공 여행사진 공모전 당선작> 등 사진,9788970653976,홍익출판사,20140110.0,2,1,N,,기기PID_PC,전라남도,광양시,1,628
지선아 사랑해,308,20141204,주문,국내문학,<이지선> 저,9788954611664,문학동네,20100707.0,23,1,N,,기기PID_PC,전라남도,보성군,2,21
"까칠한 재석이 1,2,3 세트",308,20140801,주문,국내문학,<고정욱> 저,9788994353500,애플북스,20090324.0,23,1,N,,기기PID_PC,전라남도,보성군,2,5
소설 마비노기 더 드라마 이리아 The Drama IRIA 下,315,20140506,주문,국내문학,<김수현> 저,9791155974117,학산문화사(단행본),20140410.0,16,1,N,,기기PID_PC,경기도,평택시,2,4
소설 마비노기 더 드라마 이리아 The Drama IRIA 上,315,20140506,주문,국내문학,<김수현> 저,9791155974094,학산문화사(단행본),20140410.0,16,1,N,,기기PID_PC,경기도,평택시,2,4
아크 6,316,20140502,주문,국내문학,<유성> 저,9788925707396,로크미디어,20081104.0,19,1,N,,기기PID_PC,전라북도,전주시 덕진구,5,2
아크 7,316,20140502,주문,국내문학,<유성> 저,9788925707402,로크미디어,20081129.0,19,1,N,,기기PID_PC,전라북도,전주시 덕진구,5,2
아크 9,316,20140502,주문,국내문학,<유성> 저,9788925707426,로크미디어,20090130.0,19,1,N,,기기PID_PC,전라북도,전주시 덕진구,5,2
아크 8,316,20140502,주문,국내문학,<유성> 저,9788925707419,로크미디어,20090102.0,19,1,N,,기기PID_PC,전라북도,전주시 덕진구,5,2
아크 10,316,20140502,주문,국내문학,<유성> 저,9788925707433,로크미디어,20090226.0,19,1,N,,기기PID_PC,전라북도,전주시 덕진구,5,2
두근두근 내 인생,327,20140812,주문,국내문학,<김애란> 저,9788936433871,창비,20110602.0,18,1,N,,안드로이드커머스앱,충청북도,음성군,2,218
우아한 거짓말,327,20140812,주문,국내문학,<김려령> 저,9788936434090,창비,20140219.0,18,1,N,,안드로이드커머스앱,충청북도,음성군,2,31
서랍에 저녁을 넣어 두었다,355,20140427,주문,국내문학,<한강> 저,9788932024639,문학과지성사,20131115.0,20,1,N,,기기PID_PC,경상남도,거제시,13,17
입 속의 검은 잎,355,20140615,주문,국내문학,<기형도> 저,9788932003979,문학과지성사,20000630.0,21,1,N,,기기PID_PC,경상남도,거제시,13,23
세계의 끝 여자친구,355,20141019,주문,국내문학,<김연수> 저,9788954608824,문학동네,20090908.0,20,1,N,,기기PID_PC,경상남도,거제시,13,7
서울 시,376,20140220,주문,국내문학,<하상욱> 저,9788927804093,중앙북스(books),20130123.0,21,1,N,,그 외,경기도,용인시 수지구,2,109
서울 시 2,376,20140220,주문,국내문학,<하상욱> 저,9788927804727,중앙북스(books),20130902.0,21,1,N,,그 외,경기도,용인시 수지구,2,67
"멈추면, 비로소 보이는 것들",410,20141118,주문,국내문학,<혜민 스님> 저/<이영철> 그림,9788965700609,쌤앤파커스,20120127.0,19,1,N,,모바일웹,경기도,오산시,1,296
노블레스 3,459,20140113,주문,국내문학,<손제호> 저,9788954244909,드림북스,20130909.0,21,1,Y,20140113.0,그 외,대전광역시,대덕구,3,3
노블레스 1,459,20140113,주문,국내문학,<손제호> 저,,드림북스,20110916.0,21,1,Y,20140113.0,그 외,대전광역시,대덕구,3,6
노블레스 2,459,20140113,주문,국내문학,<손제호> 저,,드림북스,20120102.0,21,1,Y,20140113.0,그 외,대전광역시,대덕구,3,4
공녀님! 공녀님! 1,520,20140612,주문,국내문학,<박희영> 저,9791156821588,가하 에픽,20140620.0,19,1,N,,안드로이드커머스앱,충청북도,충주시,5,1
공녀님! 공녀님! 3,520,20140612,주문,국내문학,<박희영> 저,9791156821601,가하 에픽,20140620.0,19,1,N,,안드로이드커머스앱,충청북도,충주시,5,1
할퀴어 주겠어! 1~3 세트,520,20140125,주문,국내문학,<박희영> 저,9788926762271,디앤씨미디어(D&C미디어),20140128.0,22,1,N,,그 외,충청북도,충주시,5,2
공녀님! 공녀님! 2,520,20140612,주문,국내문학,<박희영> 저,9791156821595,가하 에픽,20140620.0,19,1,N,,안드로이드커머스앱,충청북도,충주시,5,1
공녀님! 공녀님! 4,520,20140612,주문,국내문학,<박희영> 저,9791156821618,가하 에픽,20140620.0,19,1,N,,안드로이드커머스앱,충청북도,충주시,5,1
유랑화사 1,610,20140819,주문,국내문학,<정연> 저/<R.알니람> 그림,9791131901076,영상출판미디어,20140813.0,19,1,N,,기기PID_PC,울산광역시,동구,1,6
시골의사의 아름다운 동행 1,611,20140809,주문,국내문학,<박경철> 저,9788901131207,리더스북,20111001.0,1,1,N,,기기PID_PC,서울특별시,은평구,3,36
시골의사의 아름다운 동행 2,611,20140809,주문,국내문학,<박경철> 저,9788901131214,리더스북,20111001.0,1,1,N,,기기PID_PC,서울특별시,은평구,3,7
끌림,611,20141109,주문,국내문학,<이병률> 저,9788993928181,달,20100701.0,15,1,N,,기기PID_PC,서울특별시,은평구,3,72
소설 창백한 말 시즌 1-1,644,20140309,주문,국내문학,<민소영> 글/<추혜연> 원저,9788901161969,재미주의,20140225.0,22,1,N,,그 외,대구광역시,달서구,1,9
"멈추면, 비로소 보이는 것들",725,20140108,주문,국내문학,<혜민 스님> 저/<이영철> 그림,9788965700609,쌤앤파커스,20120127.0,23,1,N,,그 외,충청남도,예산군,1,296
"멈추면, 비로소 보이는 것들",738,20140802,주문,국내문학,<혜민 스님> 저/<이영철> 그림,9788965700609,쌤앤파커스,20120127.0,19,1,N,,기기PID_PC,경상북도,경산시,4,296
인간문제,738,20140802,주문,국내문학,<강경애>,9788936433529,창비,20060510.0,19,1,N,,기기PID_PC,경상북도,경산시,4,1
보고 있으면 기분 좋아져라,738,20140802,주문,국내문학,<정헌재> 저,9788952215352,살림출판사,20101208.0,19,1,N,,기기PID_PC,경상북도,경산시,4,3
어떤 하루,738,20141214,주문,국내문학,<신준모> 저/<김진희> 그림,9788993734348,프롬북스,20140310.0,20,1,N,,기기PID_PC,경상북도,경산시,4,393
아빠는 나무다,742,20140508,주문,국내문학,<이태범> 저,9788968970092,가연,20140331.0,10,1,N,,기기PID_PC,서울특별시,강서구,1,1
버티는 삶에 관하여,745,20141101,주문,국내문학,<허지웅> 저,9788954625883,문학동네,20140926.0,0,1,N,,기기PID_PC,경상남도,남해군,1,107
