Title,ID,Date,Class,Category,Author,ISBN,Publisher,Pub_Date,Order_Time,Count,Cart,Cart_Date,Device,Address1,Address2,user_purchase_count,book_sell_count
신의 가면 3,240,20141005,주문,인문,조지프 캠벨,9788972912439,까치(까치글방),19991231.0,14,1,N,,기기PID_PC,경기도,용인시 수지구,7,1
신의 가면 2,240,20141005,주문,인문,조지프 캠벨,9788972912422,까치(까치글방),19990930.0,14,1,N,,기기PID_PC,경기도,용인시 수지구,7,1
신의 가면 4,240,20141005,주문,인문,조지프 캠벨 저/정영목 역,9788972912446,까치(까치글방),20020630.0,14,1,N,,기기PID_PC,경기도,용인시 수지구,7,1
노자의 목소리로 듣는 도덕경,240,20141022,주문,인문,<최진석> 저,9788971393185,소나무,20011231.0,18,1,N,,기기PID_PC,경기도,용인시 수지구,7,26
"블리스, 내 인생의 신화를 찾아서",240,20141005,주문,인문,<조지프 캠벨> 저/<노혜숙> 역,9788996539353,아니마,20140725.0,14,1,N,,기기PID_PC,경기도,용인시 수지구,7,1
신의 가면 1,240,20141005,주문,인문,조지프 캠벨 저/이진구 역,9788972912415,까치(까치글방),20030228.0,14,1,N,,기기PID_PC,경기도,용인시 수지구,7,1
뉴스의 시대,240,20140825,주문,인문,<알랭 드 보통> 저/<최민우> 역,9788954625241,문학동네,20140730.0,21,1,N,,기기PID_PC,경기도,용인시 수지구,7,135
해뜨기 전이 가장 어둡다,299,20141216,주문,인문,<에밀 시오랑> 저/<김정숙> 역,9788969940001,챕터하우스,20130527.0,23,1,N,,기기PID_PC,경상북도,안동시,2,4
강신주의 감정수업,299,20140707,주문,인문,<강신주> 저,9788937488351,민음사,20131115.0,23,1,N,,기기PID_PC,경상북도,안동시,2,590
저는 심리학이 처음인데요,611,20141221,주문,인문,<강현식> 저,9788994120874,한빛비즈,20140807.0,22,1,N,,기기PID_PC,서울특별시,은평구,1,5
게으름에 대한 찬양,639,20140913,주문,인문,<버트런드 러셀> 저,9788956025797,사회평론,20050425.0,17,1,N,,기기PID_PC,경기도,부천시 소사구,5,16
행복의 정복,639,20140913,주문,인문,<버트런드 러셀> 저/<이순희> 역,9788956025513,사회평론,20050105.0,17,1,N,,기기PID_PC,경기도,부천시 소사구,5,39
우리는 언젠가 죽는다,639,20140913,주문,인문,<데이비드 실즈> 저/<김명남> 역,9788954610704,문학동네,20100319.0,17,1,N,,기기PID_PC,경기도,부천시 소사구,5,19
왜 우리는 불평등을 감수하는가?,639,20140913,주문,인문,<지그문트 바우만> 저/<안규남> 역,9788972976950,동녘,20130830.0,17,1,N,,기기PID_PC,경기도,부천시 소사구,5,16
문제는 무기력이다,639,20140911,주문,인문,<박경숙> 저,9788937834042,와이즈베리,20130222.0,17,1,N,,기기PID_PC,경기도,부천시 소사구,5,40
철학자의 설득법,829,20140906,주문,인문,<안광복> 저,9788997379071,어크로스,20120919.0,22,1,N,,기기PID_PC,전라남도,함평군,1,13
강신주의 감정수업,842,20140131,주문,인문,<강신주> 저,9788937488351,민음사,20131115.0,23,1,N,,그 외,서울특별시,양천구,1,590
언어의 죽음,894,20140602,주문,인문,<데이비드 크리스털> 저/<권루시안> 역,9788931370089,이론과실천,20051004.0,7,1,N,,모바일웹,서울특별시,동작구,1,2
그리스 로마 신화,922,20141007,주문,인문,<김성대> 편저,9788958970774,삼양미디어,20070515.0,21,1,N,,기기PID_PC,충청북도,진천군,1,24
러시아 혁명과 레닌의 사상,1007,20140416,주문,인문,<최일붕> 저,9788979660470,책갈피,20070201.0,20,1,N,,그 외,경기도,의정부시,5,1
놀이와 예술 그리고 상상력,1007,20140924,주문,인문,<진중권> 저,9788958620334,휴머니스트,20050321.0,23,1,N,,기기PID_PC,경기도,의정부시,5,5
놀이와 예술 그리고 상상력,1007,20141016,주문,인문,<진중권> 저,9788958620334,휴머니스트,20050321.0,21,1,N,,기기PID_PC,경기도,의정부시,5,5
너는 나에게 상처를 줄 수 없다,1007,20140623,주문,인문,<배르벨 바르데츠키> 저/<두행숙> 역,9788901161198,걷는나무,20131120.0,17,1,N,,기기PID_PC,경기도,의정부시,5,188
