Title,ID,Date,Class,Category,Author,ISBN,Publisher,Pub_Date,Order_Time,Count,Cart,Cart_Date,Device,Address1,Address2,user_purchase_count,book_sell_count
"스피라, 세계를 향한 영혼의 승부",188,20140929,주문,자기계발,<김한철> 저,9788925539775,랜덤하우스코리아,20100916.0,19,1,N,,기기PID_PC,인천광역시,강화군,1,2
정리의 정석,467,20140208,주문,자기계발,<조세형> 저,9788965960966,흐름출판,20131213.0,19,1,N,,그 외,서울특별시,광진구,1,11
당신의 꿈은 무엇입니까,725,20140108,주문,자기계발,<김수영> 저,9788901150796,웅진지식하우스,20120919.0,23,1,N,,그 외,충청남도,예산군,1,15
마시멜로 이야기,738,20140802,주문,자기계발,"<호아킴 데 포사다>,<엘런 싱어> 공저/<공경희> 역",9788950935283,21세기북스,20120126.0,19,1,N,,기기PID_PC,경상북도,경산시,1,22
스마트한 선택들,745,20141101,주문,자기계발,"<롤프 도벨리> 저/<엘 보초>,<시몬 슈텔레> 그림/<두행숙> 역",9788901156385,걷는나무,20130422.0,0,1,N,,기기PID_PC,경상남도,남해군,1,34
인생의 절반쯤 왔을 때 깨닫게 되는 것들,784,20140526,주문,자기계발,"<리처드 J. 라이더>,<데이비드 A. 샤피로> 공저/<김정홍> 역",9788960864474,위즈덤하우스,20110515.0,15,1,N,,모바일웹,대전광역시,서구,1,14
FBI 행동의 심리학,808,20140203,주문,자기계발,"<조 내버로>,<마빈 칼린스> 저/<박정길> 역",9788901110806,리더스북,20100913.0,20,1,N,,그 외,부산광역시,기장군,1,60
이케다 다이사쿠 명언 100선,901,20140701,주문,자기계발,<이케다 다이사쿠> 저/<화광신문사> 역,9788974427559,매일경제신문사,20110703.0,14,1,N,,기기PID_PC,대전광역시,동구,1,2
스파이처럼 일하라,969,20140801,주문,자기계발,<J. C. 칼레슨> 저/<조자현> 역,9788965961253,흐름출판,20140721.0,17,1,N,,기기PID_PC,경상남도,하동군,1,11
유머 대화법,1007,20140416,주문,자기계발,<임붕영> 저,9788965840084,미래지식,20110930.0,20,1,N,,그 외,경기도,의정부시,9,12
